Frequency (Hz),Measured accelerations under no-load (m/s2),Measured accelerations under on-load (m/s2)
320,0.01784872,0.009802143
321,0.030359605,0.025237004
322,0.037835847,0.034122278
323,0.053597033,0.042930355
324,0.055301299,0.049945784
325,0.041872218,0.053481108
326,0.029514154,0.062101839
327,0.005937348,0.070966089
328,0.022781592,0.073224288
329,0.025677287,0.08157218
330,0.027155441,0.063532605
331,0.02043752,0.029755561
332,0.008735478,0.011982673
333,0.006728394,0.010965525
334,0.01263373,0.019342168
335,0.016012216,0.021619113
336,0.016577048,0.019078337
337,0.008575159,0.020155893
338,0.003726177,0.012634942
339,0.010903438,0.00937653
340,0.009477992,0.018974296
341,0.012587013,0.025878017
342,0.021285492,0.0331812
343,0.017296947,0.031821417
344,0.014527378,0.024974991
345,0.020135645,0.024240124
346,0.025932687,0.030996449
347,0.037905465,0.044369634
348,0.054560556,0.129587073
349,0.064072644,0.20433954
350,0.065900424,0.217352704
351,0.06679269,0.214270569
352,0.056005979,0.154003984
353,0.037839748,0.066741841
354,0.03003989,0.036633934
355,0.028128068,0.035706792
356,0.021202737,0.023629493
357,0.018512332,0.008178319
358,0.010678778,0.023066511
359,0.0160663,0.029237868
360,0.023702397,0.019048922
361,0.038662829,0.019519612
362,0.039412498,0.032392438
363,0.028605911,0.040585818
364,0.038546183,0.032096344
365,0.049860631,0.025488845
366,0.057777655,0.028732675
367,0.055943749,0.040294453
368,0.030858801,0.04009108
369,0.0064587,0.029941161
370,0.004618286,0.015237358
371,0.01010049,0.0141476
372,0.013492054,0.045900217
373,0.011582727,0.124595889
374,0.01543675,0.178577582
375,0.017351616,0.191573438
376,0.023190886,0.203625132
377,0.03541367,0.161258758
378,0.050125982,0.113658036
379,0.039315208,0.099825868
380,0.02100315,0.078551319
381,0.007125588,0.051523689
382,0.022676276,0.029116375
383,0.044858147,0.023183288
384,0.04722972,0.027554055
385,0.050661832,0.023521268
386,0.052204758,0.015597122
387,0.035125886,0.010222871
388,0.021535773,0.002289753
389,0.01957033,0.019921599
390,0.015731731,0.021057419
391,0.01358109,0.019273264
392,0.011488152,0.026337923
393,0.013696927,0.037041898
394,0.025839943,0.045150981
395,0.022118488,0.043722854
396,0.014403061,0.033480791
397,0.020231869,0.024173874
398,0.05161329,0.058915488
399,0.069897256,0.098540486
400,0.070017672,0.106235019
401,0.067801412,0.108933765
402,0.05122057,0.087777881
403,0.028223851,0.055436241
404,0.015843805,0.04559614
405,0.010754876,0.048627035
406,0.020073294,0.047769329
407,0.023836376,0.047486579
408,0.024555999,0.0489462
409,0.02296913,0.03846037
410,0.01850662,0.028147534
411,0.026383869,0.017405372
412,0.030739319,0.01121924
413,0.027660968,0.007438887
414,0.024475005,0.004343553
415,0.021732888,0.008113311
416,0.020239728,0.012252524
417,0.017016147,0.012517131
418,0.014622204,0.011802931
419,0.017809404,0.01377899
420,0.019086852,0.008796741
421,0.014116198,0.001163179
422,0.010049626,0.007246078
423,0.008852159,0.036742544
424,0.01253945,0.057259054
425,0.016019537,0.06268474
426,0.017334923,0.07427472
427,0.01180084,0.065878777
428,0.005871507,0.037357691
429,0.021630098,0.025751792
430,0.034067946,0.029106383
431,0.040671422,0.025213651
432,0.034771263,0.023486018
433,0.023259009,0.019623212
434,0.021974431,0.018067805
435,0.016728857,0.020360877
436,0.009976212,0.020287119
437,0.01772674,0.023230054
438,0.022989253,0.024081497
439,0.022368857,0.021001405
440,0.01491768,0.0259628
441,0.007066562,0.033337966
442,0.016189514,0.026266945
443,0.02268619,0.013713028
444,0.02310828,0.012556301
445,0.022813065,0.010400518
446,0.016663896,0.033975287
447,0.048965468,0.08230059
448,0.20139598,0.186990353
449,0.309862914,0.250333696
450,0.329672441,0.246859446
451,0.325521877,0.238784278
452,0.220972504,0.171294437
453,0.081037991,0.078974394
454,0.036075697,0.047663806
455,0.017717479,0.035505837
456,0.003537008,0.025746645
457,0.0189537,0.022636702
458,0.023230024,0.022463607
459,0.017103245,0.024913272
460,0.015883825,0.024910425
461,0.020550707,0.016010781
462,0.027674442,0.009423449
463,0.031215002,0.004030579
464,0.03314418,0.012364791
465,0.033219969,0.015280633
466,0.026626329,0.013904002
467,0.020765649,0.006556096
468,0.022446019,0.00599343
469,0.031936846,0.008869728
470,0.035126718,0.010774331
471,0.033746413,0.022799909
472,0.029013097,0.036013495
473,0.023052058,0.046472103
474,0.016102279,0.050966837
475,0.005717887,0.037107641
476,0.00177322,0.029427492
477,0.003984948,0.032764459
478,0.00656815,0.043370553
479,0.013688998,0.035539185
480,0.020894675,0.021794194
481,0.020232149,0.017683667
482,0.020542869,0.016314297
483,0.019686876,0.018849217
484,0.015484411,0.038894246
485,0.015157958,0.053364856
486,0.012768756,0.046372401
487,0.00915465,0.007090368
488,0.012014093,0.056318437
489,0.013375197,0.107459325
490,0.010337299,0.113791453
491,0.007980235,0.093942461
492,0.009536795,0.055353896
493,0.013661375,0.012738453
494,0.022405781,0.003728562
495,0.032970404,0.022210578
496,0.045553821,0.06816762
497,0.085468736,0.566181782
498,0.177458706,1.810494536
499,0.235751342,2.692955357
500,0.223944521,2.782380222
501,0.19686802,2.677908129
502,0.116251271,1.767311647
503,0.045363785,0.520296091
504,0.0591298,0.031997537
505,0.056622423,0.030794915
506,0.050897261,0.036964636
507,0.042554061,0.036616345
508,0.042257924,0.031220478
509,0.046855805,0.035823733
510,0.048759801,0.051351428
511,0.037883774,0.070439997
512,0.012094868,0.078307006
513,0.029650904,0.06312883
514,0.047897039,0.042459378
515,0.049976636,0.028936084
516,0.027432792,0.018734377
517,0.025122962,0.016727137
518,0.049002278,0.024086675
519,0.061686899,0.025337772
520,0.051401551,0.01906429
521,0.042605212,0.013103721
522,0.053412323,0.01997471
523,0.064494434,0.041115425
524,0.061807996,0.057233517
525,0.04625133,0.059484156
526,0.028094248,0.06818484
527,0.021453747,0.067357738
528,0.035367242,0.050772917
529,0.04116228,0.037638948
530,0.043534869,0.017067311
531,0.047939461,0.004204932
532,0.04688614,0.007118862
533,0.03767991,0.006510954
534,0.024199813,0.003651342
535,0.015208256,0.008205497
536,0.035798934,0.011977512
537,0.047103922,0.018872261
538,0.052970991,0.017772152
539,0.051257552,0.01442602
540,0.042367803,0.005544415
541,0.037429748,0.016085038
542,0.029097402,0.010768516
543,0.024556938,0.010861557
544,0.029258542,0.012820275
545,0.025358536,0.016569561
546,0.022941172,0.023577511
547,0.025496963,0.026479883
548,0.040229131,0.04033524
549,0.05761924,0.058957028
550,0.062742279,0.058205433
551,0.064205987,0.054014144
552,0.038404947,0.035884057
553,0.00540207,0.018812745
554,0.023108417,0.024899505
555,0.034356634,0.025140298
556,0.040178679,0.022962538
557,0.041115759,0.015497975
558,0.037723852,0.008616928
559,0.029352099,0.011373495
560,0.029260071,0.014840421
561,0.030774169,0.017264988
562,0.026314158,0.019720871
563,0.023474519,0.018724355
564,0.017520612,0.017579509
565,0.0104472,0.011480958
566,0.018276915,0.006024775
567,0.02588052,0.00843968
568,0.020646123,0.013648745
569,0.018636862,0.017166883
570,0.01684557,0.023221238
571,0.009820335,0.023761175
572,0.006702843,0.013554976
573,0.027051614,0.010586606
574,0.040089411,0.027557748
575,0.039569033,0.030128183
576,0.03241319,0.028416933
577,0.015297794,0.017339369
578,0.019051567,0.025315416
579,0.024320036,0.032062322
580,0.029075321,0.0287717
581,0.031955083,0.017788108
582,0.022194514,0.012375641
583,0.008793486,0.007436438
584,0.003279994,0.004328634
585,0.015439306,0.010150535
586,0.026264115,0.017140377
587,0.025678716,0.019266756
588,0.014569089,0.019119054
589,0.002976658,0.018439152
590,0.019414523,0.010256507
